,0,1,2,3,4
W_1.wrd,0.0,0.01784070890281771,0.0,0.0,0.2773088042002374
W_10.wrd,0.0,0.0021380868535518147,0.0,0.0,0.3200513666362438
W_11.wrd,1.1908806109069069e-56,0.0,0.0,0.0,0.2877854111714093
W_12.wrd,0.0,0.0,0.0,0.0,0.29213121666023734
W_13.wrd,0.0,0.02888152755991419,0.0,0.0,0.32938884510615674
W_14.wrd,0.0,0.06246502510335741,0.0,0.0,0.27072359433984505
W_15.wrd,0.0,0.01762530301058157,1.0185314685844443e-55,0.0,0.2353891733711885
W_16.wrd,0.0,0.030742037045609016,0.0,0.0,0.3214150581977522
W_17.wrd,0.0,0.0,0.0,0.0,0.2593990096545365
W_18.wrd,0.0,0.07060995205435541,0.0,0.0,0.3207954939741864
W_19.wrd,0.0,0.0,0.0,0.0,0.3067375626564311
W_2.wrd,0.0,0.0030438509162489017,0.0,0.0,0.2897356043575402
W_20.wrd,0.0,0.0,0.0,0.0,0.254394275359186
W_21.wrd,0.0,0.22174169462329843,0.0,0.0,0.29756536932629624
W_22.wrd,0.0,0.08172267130307621,5.616032007585877e-55,0.0,0.24943552285260961
W_23.wrd,0.0,0.008485816120814471,2.7294174260712314e-55,0.0,0.25511301268640246
W_24.wrd,0.0,0.02783962494161768,3.1177793328810923e-55,0.0,0.26176600279104834
W_25.wrd,0.0,0.0004377857009813927,8.43247042326397e-56,0.0,0.2436367948979215
W_26.wrd,0.0,0.0,1.0995819934643137e-55,0.0,0.2562898019398711
W_27.wrd,0.0,0.019621894053566704,7.145833496832599e-55,0.0,0.24752897831681436
W_28.wrd,0.0,0.009784748446260268,2.8369054018189088e-55,0.0,0.2550570380492104
W_29.wrd,0.0,0.06735520835939707,0.0,0.0,0.270555771030301
W_3.wrd,0.0,0.026818714008446227,0.0,0.0,0.31691705069465725
W_30.wrd,0.0,0.012443507788453633,6.2422818316197466e-55,0.0,0.2630187452973173
W_31.wrd,0.0,0.002333862010952513,1.1052556456469887e-55,0.0,0.2897256340619832
W_32.wrd,0.0,2.1447808580362517,0.0,0.0,0.0
W_33.wrd,0.0,0.0,0.0,0.0,0.285491452482017
W_34.wrd,0.0,0.07127133592785899,0.0,0.0,0.3193015489215675
W_35.wrd,0.0,0.020660092082168516,0.0,0.0,0.37038586274921625
W_36.wrd,0.0,0.0,0.0,0.0,0.28944294005337073
W_37.wrd,0.0,0.033597534666247555,0.0,0.0,0.3182491296542338
W_38.wrd,0.0,0.03491506343104832,0.0,0.0,0.3017662066323553
W_39.wrd,0.0,0.0,1.1273213413416503e-57,0.0,0.2991725649923237
W_4.wrd,9.25504036661173e-58,0.0,0.0,0.0,0.3063226907480621
W_40.wrd,0.0,0.025073709835341268,0.0,0.0,0.30084415266094605
W_41.wrd,0.0,0.0655294009451047,0.0,0.0,0.3383040640159787
W_42.wrd,0.0,0.0,7.677971696906398e-56,0.0,0.27171490620158023
W_43.wrd,0.0,0.028101733792554685,0.0,0.0,0.33718522666172746
W_44.wrd,0.0,0.0028595857365472563,0.0,0.0,0.31941157278829907
