,0,1,2,3,4
W_1.wrd,-2.733187275922143,-20.532987211415623,-14.627927852077399,0.742944683535295,-1.4853012563315824
W_10.wrd,-2.248910100258529,-16.894845121462346,-12.03609694677618,1.543101122919391,-1.6560782477123164
W_11.wrd,-2.5892342765774385,-19.451566635304417,-13.857521199537011,2.322157047674793,-3.048580475530173
W_12.wrd,-2.4321293726662763,-18.27140101226366,-13.016831921979414,-0.18970548683071797,2.086568393169967
W_13.wrd,-2.082770235866306,-15.646730721755791,-11.14694915995473,3.6706530826905,-3.544446419765473
W_14.wrd,-2.4715443543631945,-18.567304412967808,-13.22762365652003,1.785523091527652,-1.3644736150275083
W_15.wrd,-2.760604745683594,-20.73899718044163,-14.774772843976258,-1.8362336517917577,8.667514639708244
W_16.wrd,-2.1193953128265273,-15.921872461395798,-11.342973357737506,2.5328232981427083,-2.3406247213338514
W_17.wrd,-2.704934301302397,-20.3206367143246,-14.47639552363701,-3.660509537400887,1.9299798019499537
W_18.wrd,-1.994453599765544,-14.983276806278342,-10.674289911274542,3.8658997529081005,-3.684251717335714
W_19.wrd,-2.4383861426882145,-18.318235135391674,-13.05018043003211,0.25470202138751485,-0.38459868617996906
W_2.wrd,-2.4657089692928738,-18.52357943949316,-13.196491532633264,1.5726160818146837,-1.3684051925232041
W_20.wrd,-2.7870956512290705,-20.937993514366745,-14.91650546432481,-1.4893151720995974,2.7468844795404284
W_21.wrd,-1.9808342428731125,-14.880958791874978,-10.601418133219703,4.715582807407493,-4.959118991005506
W_22.wrd,-2.7321589918707536,-20.52527169598462,-14.622455873187242,-2.4242856039540066,0.3514655043056002
W_23.wrd,-2.722397119115148,-20.451794007137458,-14.570240693611254,-2.0832885575078026,-0.5754765280408262
W_24.wrd,-2.7865232880892883,-20.93365966491912,-14.913345586049576,-2.0563551792288055,0.24045644815289008
W_25.wrd,-3.0135118525627194,-22.63894291854242,-16.128251993207417,-1.081626845779223,0.13091187498155707
W_26.wrd,-2.902064133241616,-21.801743866346364,-15.53180747278477,-3.2311846900662125,2.507754221687288
W_27.wrd,-2.7495007419213993,-20.65540569797765,-14.71512444974346,-3.0716184208278645,1.2097250618939002
W_28.wrd,-2.747669159047306,-20.641949282697354,-14.705587086243067,-3.320018820891638,2.451497472692528
W_29.wrd,-2.5666904380475737,-19.28217315332582,-13.736897500457879,-0.5244187804580344,-0.3428057044920847
W_3.wrd,-2.2594629167361076,-16.974125934648498,-12.092587089990161,1.751279816161734,-2.113487709766468
W_30.wrd,-2.6967125233590146,-20.259187011535033,-14.432874077743712,-3.2956832575290664,2.478865086707751
W_31.wrd,-2.497520127625495,-18.762618127341987,-13.366753843651843,-1.926766245862715,1.3652793310073525
W_32.wrd,-1.0833123768096664,-8.138736918099152,-5.798227047983851,54.44278647998603,-64.04915172696796
W_33.wrd,-2.619461116058388,-19.678633564785862,-14.019349104962451,-2.702128040004206,1.7277831430994524
W_34.wrd,-2.005825730238837,-15.06868717666633,-10.735139418229167,2.3802042078070236,-2.6630991954511853
W_35.wrd,-1.6262475487287853,-12.21712447995324,-8.703652539492884,1.686876434648015,-1.1899933681697927
W_36.wrd,-2.5848342315347352,-19.41853138305862,-13.834043726153883,-0.7552417680295338,0.08725736680501374
W_37.wrd,-2.197886980173072,-16.511597653008224,-11.763092791942071,0.37034049055466317,-0.7483098075636306
W_38.wrd,-2.348950282296542,-17.646403953142666,-12.571541532428952,1.1284885060442533,-1.4857332447218923
W_39.wrd,-2.522026659381331,-18.946743589546628,-13.497899566070341,-2.7123642698433987,1.9090256193533495
W_4.wrd,-2.3138342359521493,-17.382611788625873,-12.38360388802521,1.4909366743107566,-1.7920953187638904
W_40.wrd,-2.29185725840222,-17.21745510805531,-12.265946381240514,0.7833434927327426,-1.3547449029679968
W_41.wrd,-1.9215927894080993,-14.435905620803023,-10.284337019700793,2.7428812643675866,-2.760167376184574
W_42.wrd,-2.7601090694135584,-20.735252204139165,-14.772158772799337,-3.287522035682908,2.752292323433969
W_43.wrd,-1.9999540036733254,-15.024606787358067,-10.703741615875874,1.01611263877813,-0.9350926629707511
W_44.wrd,-2.247976081396372,-16.887843319728326,-12.03113882577546,0.6045806299913751,-1.0468263222656327
W_45.wrd,-2.951311825917581,-22.17198012097044,-15.796060570641156,-8.740924005676847,8.764526371828083
W_46.wrd,-2.4174023732093604,-18.160829462587436,-12.93802933297956,-3.5848950122289067,3.315926299299956
W_47.wrd,-2.189125012377451,-16.445744653289175,-11.716177490668201,0.7814831850480769,-0.8336619625308662
W_48.wrd,-2.953311466487455,-22.187938019231908,-15.806810882528865,-12.251994039289832,7.40283862723147
W_49.wrd,-2.4908602174928562,-18.712549377436176,-13.331031900473963,2.4813805662598005,-4.582618736062297
W_5.wrd,-2.1531200598315907,-16.175231360082737,-11.52346445600822,1.8671676555648802,-1.9922300508103412
W_50.wrd,-2.714269679323599,-20.390890238042083,-14.526607564402237,-7.2226934182777445,3.3317901659355247
W_51.wrd,-2.845841745323061,-21.379221126156736,-15.230848176885512,-4.308676394609858,2.878123543269469
W_52.wrd,-2.2683123115175094,-17.040606367323434,-12.139960197978748,1.686657936877813,-2.1926236858928725
