,0,1,2,3,4
W_1.wrd,1.238445216682325e-184,0.20058219786714981,0.0,0.0,0.10516484929959102
W_10.wrd,0.0,0.2220327245651793,0.0,0.0,0.12660357027082692
W_11.wrd,0.0,0.13819352041252356,0.0,0.0,0.15690585610781016
W_12.wrd,0.0,0.248540999290739,0.0,0.0,0.08224118556596052
W_13.wrd,0.0,0.3097790246037172,0.0,0.0,0.07799030459459146
W_14.wrd,7.01761082924067e-183,0.22562205951370637,0.0,0.0,0.07284802445930756
W_15.wrd,3.4708875262838445e-183,0.09477354599336947,0.0,0.0,0.1421583859373098
W_16.wrd,0.0,0.2675748339933276,0.0,0.0,0.10090191427177671
W_17.wrd,0.0,0.30725285039751116,0.0,0.0,0.0
W_18.wrd,2.312767195941674e-183,0.4003470846365562,0.0,0.0,0.0
W_19.wrd,0.0,0.35063121364268535,0.0,0.0,0.03517516276132158
W_2.wrd,0.0,0.17748512185866255,0.0,0.0,0.12841223120012243
W_20.wrd,0.0,0.1891284869898521,0.0,0.0,0.07685519988431312
W_21.wrd,1.83762996028981e-182,0.3129453581304294,0.0,0.0,0.055269586743741564
W_22.wrd,6.3089273059437976e-183,0.05148548093607174,0.0,0.0,0.18973514901924676
W_23.wrd,2.3238491721274455e-183,0.055214296671208744,0.0,0.0,0.18677481901537793
W_24.wrd,4.949666392598805e-183,0.059942177486966945,0.0,0.0,0.1971184091144194
W_25.wrd,0.0,0.15691363483685183,0.0,0.0,0.09715051054430753
W_26.wrd,0.0,0.17378992013619016,0.0,0.0,0.10160280273994526
W_27.wrd,5.518544103930609e-183,0.0,0.0,0.0,0.225297133379749
W_28.wrd,1.8237612798800106e-183,0.0872738338789047,0.0,0.0,0.16193062894943663
W_29.wrd,9.695544984912418e-183,0.09475142653702347,0.0,0.0,0.17039540579220464
W_3.wrd,0.0,0.3426465806183724,0.0,0.0,0.04435563542918097
W_30.wrd,2.024852844446076e-183,0.049388439670919194,0.0,0.0,0.20004565191975465
W_31.wrd,0.0,0.0,0.0,0.0,0.2662326999844525
W_32.wrd,1.5093779263883875e-181,0.13472620084936499,0.0,0.0,0.0
W_33.wrd,0.0,0.24796268487664191,0.0,0.0,0.0795734076715409
W_34.wrd,3.380553204147176e-183,0.1949474576852286,0.0,0.0,0.15196157830604798
W_35.wrd,0.0,0.29980051136197494,0.0,0.0,0.13827622897069936
W_36.wrd,0.0,0.17162352398214267,0.0,0.0,0.14101322863272964
W_37.wrd,2.158045167266693e-183,0.21601839908073509,0.0,0.0,0.13835726296176837
W_38.wrd,2.209484535167355e-183,0.20152911744306617,0.0,0.0,0.12641806021176388
W_39.wrd,0.0,0.2586045278185984,0.0,0.0,0.09335831452033876
W_4.wrd,0.0,0.07222502949607819,0.0,0.0,0.22393148875392518
W_40.wrd,0.0,0.2178823866905818,0.0,0.0,0.11368122798367301
W_41.wrd,2.7508934401641343e-183,0.3297856107062595,0.0,0.0,0.073835304768155
W_42.wrd,0.0,0.28500658913432236,0.0,0.0,0.03860301789599985
W_43.wrd,2.2307294854825238e-183,0.17458098012025333,0.0,0.0,0.190719902430336
W_44.wrd,0.0,0.22072559487243434,0.0,0.0,0.13909942209287857
W_45.wrd,0.0,0.05658155763689754,0.0,0.0,0.1608725939790484
W_46.wrd,0.0,0.0,0.0,0.0,0.2664735573995199
W_47.wrd,0.0,0.21294548855883969,0.0,0.0,0.13486319025460344
W_48.wrd,0.0,0.03250541796940671,0.0,0.0,0.1769895774252069
W_49.wrd,5.552005935652368e-183,0.2745302647598146,0.0,0.0,0.06101880514544595
W_5.wrd,0.0,0.30250461915550203,0.0,0.0,0.08942473270604294
W_50.wrd,0.0,0.008781777583919624,0.0,0.0,0.20954173524637912
W_51.wrd,0.0,0.2867834008317424,0.0,0.0,0.02918222994242538
W_52.wrd,1.8651991115160557e-183,0.30761173539460657,0.0,0.0,0.05935505518806066
W_53.wrd,0.0,0.15858351004832874,0.0,0.0,0.12781398870592733
W_54.wrd,0.0,0.23908430763639346,0.0,0.0,0.10536603960143184
W_55.wrd,0.0,0.05890180714892981,0.0,0.0,0.2166644821048923
W_56.wrd,0.0,0.29990867668586835,0.0,0.0,0.05895190396618788
W_57.wrd,0.0,0.26127273084821334,0.0,0.0,0.044958128296148134
W_58.wrd,0.0,0.21170424881459163,0.0,0.0,0.11918420577304964
W_59.wrd,0.0,0.302790178681669,0.0,0.0,0.051647562094127616
W_6.wrd,9.459982737125805e-184,0.11538376039113611,0.0,0.0,0.17206536232381356
W_60.wrd,0.0,0.22044900424795066,0.0,0.0,0.10073321781088636
