,0,1,2,3,4
W_1.wrd,-10.346416048709582,-16.918003099382528,-15.804582043386864,0.12538712251085193,-0.5741205908818771
W_10.wrd,-8.513189394990219,-13.920378351916444,-13.004248771897148,0.9628958700977793,-0.30444830241800147
W_11.wrd,-9.801504606001977,-16.026992773300517,-14.972204780726813,1.247624885447406,-0.5042695696614193
W_12.wrd,-9.206847119877219,-15.054628230198647,-14.063815570776287,0.037659043491933136,-0.4891031818289725
W_13.wrd,-7.884275190483635,-12.892009573325549,-12.043567935488143,2.489875797281208,-0.3339267774954341
W_14.wrd,-9.355939071665386,-15.29840892876738,-14.291585057510096,1.4952974029390471,-0.00969012125352246
W_15.wrd,-10.450303712260963,-17.087823900248598,-15.963215336458505,0.15226352316720682,0.31933617450539875
W_16.wrd,-8.022921347157887,-13.118712814018766,-12.255344838899076,1.693326316177764,-0.3311633900619645
W_17.wrd,-10.239332456450045,-16.742950140333246,-15.641028280889357,-2.8651656998241206,-0.847738383058798
W_18.wrd,-7.5499671353175355,-12.345365997012633,-11.532896157165387,2.687360012188983,-0.263010625272228
W_19.wrd,-9.230424224793099,-15.093161584067296,-14.099852248400326,0.1484871780834246,-0.3004838794697724
W_2.wrd,-9.333903823491065,-15.262349929320571,-14.257906606001113,0.841321565528269,-0.4288991592330472
W_20.wrd,-10.550516983162963,-17.251694782153734,-16.116321050950184,-0.9718271038587624,-0.6722364827408672
W_21.wrd,-7.498414517270582,-12.26105346756997,-11.454142917830902,3.0468094267089962,-0.46948981812421675
W_22.wrd,-10.342529656744516,-16.91161404003941,-15.79861805519018,-2.4509645275107528,-0.4213950550269355
W_23.wrd,-10.305614400314276,-16.851065143854576,-15.742041112476292,-2.9806024142830108,-0.9285181762265536
W_24.wrd,-10.548304775812648,-17.24810585476019,-16.11296791757986,-2.217064431011886,-0.5485886319827397
W_25.wrd,-11.407594189152528,-18.65315812201521,-17.42556365494449,-1.6103764155454645,-0.6578995894464511
W_26.wrd,-10.985733057821257,-17.96336351557703,-16.781135157111592,-2.758445923674309,-0.2993249658640451
W_27.wrd,-10.408108779628442,-17.01883764986878,-15.89878181608518,-3.37462826890819,-1.0010060985643372
W_28.wrd,-10.40132852515714,-17.007738249203054,-15.88843526699267,-3.205523620031988,-0.29422580164972645
W_29.wrd,-9.71615342243848,-15.887377452839939,-14.84180185577015,-1.1532879163572007,-0.66395851834303
W_3.wrd,-8.553136588050206,-13.985706866235908,-13.065274677190112,1.109164112195849,-0.20955446208202982
W_30.wrd,-10.208443637448863,-16.692393995621426,-15.593813106088197,-2.5386993206274977,0.4598335405517868
W_31.wrd,-9.454354843354183,-15.459306418115418,-14.441890668132556,-1.903867664962925,-0.12572434219118359
W_32.wrd,-4.101076001355311,-6.705785860493678,-6.264758780487431,34.69505207559318,-4.959343192768556
W_33.wrd,-9.915919564490137,-16.214045573763055,-15.146952645593608,-2.101371698709268,0.10234032395186211
W_34.wrd,-7.593001077330607,-12.41572226705713,-11.598626129289562,1.4461913926171646,-0.3749717386800753
W_35.wrd,-6.1561220941021,-10.066207513255392,-9.403729850703725,1.2501303281879543,-0.1452187681154967
W_36.wrd,-9.78485531241027,-15.999768659940436,-14.946763629796791,-0.34857375135958446,0.24422453511137446
W_37.wrd,-8.320070946066181,-13.604607379577425,-12.709253540062862,0.23466296860014618,0.10152483395370872
W_38.wrd,-8.891894431222505,-14.53961344584816,-13.582731059266447,0.440402775990117,-0.4519727724441721
W_39.wrd,-9.547112045476402,-15.611016816514516,-14.583609312477074,-2.0140285867325627,0.3336324262710294
W_4.wrd,-8.758973839872313,-14.32228397059449,-13.379690195639624,0.9946930216642867,-0.10248106811148532
W_40.wrd,-8.675746799855936,-14.186178762472869,-13.252563020223539,0.19392278393597284,-0.40438943071019495
W_41.wrd,-7.2741468713524196,-11.894352884915818,-11.111565602429783,1.8404856246723214,-0.2617090149810691
W_42.wrd,-10.448341552235192,-17.084652855896582,-15.960264273597426,-2.365266629201624,0.37920834352821153
